Frente;Verso
Qual é o contrário de <b>nenhum</b>?;O contrário de nenhum é <b>pelo menos um</b>.<br><br><i>Fonte: Cálculo de Probabilidade – Complementar</i><hr><b>BIZU:</b> Nenhum x Pelo menos um.
Uma empresa produz 20% de peças defeituosas em caixas com 6 peças. Qual é a probabilidade de uma caixa conter <b>nenhuma peça defeituosa</b>?;<b>0,8⁶</b>. Se a chance de defeito é 0,2, a chance de não defeito é 0,8. Nenhuma defeituosa significa 6 peças boas: 0,8⁶.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Nenhuma defeituosa = todas boas.
Qual conceito a questão da caixa com <b>nenhuma peça defeituosa</b> testa?;Ela testa complementar e multiplicação de eventos independentes. Cada peça precisa ser boa, então multiplicamos a chance de peça boa seis vezes.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Todas boas vira potência.
Uma empresa produz 20% de peças defeituosas em caixas com 6 peças. Qual é a probabilidade de uma caixa conter <b>exatamente uma peça defeituosa</b>?;<b>6 x 0,2 x 0,8⁵</b>. Escolhemos qual das 6 posições será defeituosa e as outras 5 devem ser boas.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Exatamente uma = escolha a posição da defeituosa.
Qual conceito a questão de <b>uma peça defeituosa em seis</b> testa?;Ela testa estrutura binomial: escolher a posição da peça defeituosa, multiplicar a chance de defeito e a chance das peças boas restantes.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Exatamente k defeitos pede C(n,k).
Ao lançar uma moeda até conseguir 3 coroas, qual estrutura aparece se queremos exatamente <b>2 caras antes da terceira coroa</b>?;A estrutura é escolher posições para as 2 caras entre os 4 primeiros lançamentos, com a quinta posição fixa como coroa. O resultado do material é 6 x 0,5² x 0,5³.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Última coroa fixa, antes dela as caras se espalham.
Qual conceito a questão das <b>2 caras até conseguir 3 coroas</b> testa?;Ela testa distribuição de eventos antes de um último evento fixo. A terceira coroa precisa ocorrer no final da sequência observada.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Quando há “até conseguir”, olhe quem fecha o processo.
Qual é a probabilidade de que a <b>segunda falha</b> ocorra na décima câmera testada, se a chance de falha é 0,2 e de passar é 0,8?;<b>9 x 0,2² x 0,8⁸</b>. A décima câmera deve falhar e, nas nove anteriores, deve haver exatamente uma falha. Escolhemos essa falha anterior em 9 posições.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Segunda falha na décima = décima falha fixa e uma falha antes.
Qual conceito a questão da <b>segunda falha na décima câmera</b> testa?;Ela testa distribuição de eventos com última ocorrência fixada. Uma falha deve estar nas 9 primeiras posições e a outra obrigatoriamente na décima.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Última ocorrência fixa reduz a combinação.
Sete pacotes podem chegar perfeitos com probabilidade 0,7, perdidos com 0,1 e avariados com 0,2. Qual é a estrutura para 3 perfeitos, 2 perdidos e 2 avariados?;<b>7! / 3! x 2! x 2! x 0,7³ x 0,1² x 0,2²</b>. A parte fatorial conta as formas de distribuir os tipos entre os 7 pacotes.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Vários tipos com quantidades fixas pedem multinomial.
Qual conceito a questão dos <b>pacotes perfeitos, perdidos e avariados</b> testa?;Ela testa probabilidade multinomial, quando há mais de dois tipos de resultado e queremos quantidades específicas de cada tipo.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Três categorias ou mais, pense em multinomial.
Em uma caixa com 12 bolas, 5 vermelhas, 4 brancas e 3 azuis, com reposição, qual é a estrutura para retirar <b>2 vermelhas, 2 brancas e 1 azul</b> em 5 retiradas?;<b>5! / 2! x 2! x 1! x (5/12)² x (4/12)² x (3/12)</b>. A reposição mantém as probabilidades em cada retirada e o fatorial conta as ordens possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Com reposição e sem ordem = probabilidades fixas vezes ordens possíveis.
Qual conceito a questão das <b>bolas vermelhas, brancas e azuis com reposição</b> testa?;Ela testa Regra do E com reposição e sem ordem fixa, usando distribuição multinomial das cores sorteadas.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Reposição mantém chance, sem ordem pede arranjar as cores.
Um casal tem 20% de chance de êxito em cada tentativa de inseminação. Qual é a probabilidade de obter êxito na <b>terceira tentativa</b>?;<b>12,8%</b>. É preciso falhar nas duas primeiras e ter êxito na terceira: 0,8 x 0,8 x 0,2 = 0,128.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Êxito na terceira = falha, falha, sucesso.
Qual conceito a questão do <b>êxito na terceira tentativa</b> testa?;Ela testa sequência fixa de fracassos antes do primeiro sucesso. A terceira tentativa precisa ser a primeira com êxito.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Primeira vitória na terceira exige duas derrotas antes.
Bob acerta 70% dos arremessos livres. Qual é a probabilidade de acertar seu <b>primeiro arremesso no quinto arremesso</b>?;<b>0,3⁴ x 0,7</b>. Ele precisa errar os quatro primeiros e acertar o quinto.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Primeiro acerto no quinto = erro, erro, erro, erro, acerto.
Qual conceito a questão do <b>primeiro arremesso acertado no quinto</b> testa?;Ela testa sequência fixa até o primeiro sucesso. O sucesso deve ocorrer exatamente na quinta tentativa.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> “Primeiro no quinto” fixa todos os anteriores como fracasso.
Em uma urna com 7 bolas brancas e 3 verdes, sorteando 4 sem reposição, qual é a probabilidade de sortear <b>3 brancas</b>?;<b>50%</b>. Casos favoráveis: C(7,3) x C(3,1) = 35 x 3 = 105. Casos possíveis: C(10,4) = 210. Logo, 105/210 = 1/2.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Exatamente 3 <b>rancas em 4 tam</b>ém exige 1 verde.
Qual conceito a questão das <b>3 brancas em 4 bolinhas</b> testa?;Ela testa probabilidade sem reposição e sem ordem, usando combinações para montar o grupo sorteado.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Sem ordem em retirada de bolas, combinação é seu atalho.
Qual é a diferença entre <b>exatamente 3 brancas</b> e <b>pelo menos 3 brancas</b>?;Exatamente 3 brancas exige 3 brancas e 1 não branca. Pelo menos 3 brancas inclui 3 brancas ou 4 brancas.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Exatamente é uma linha. Pelo menos é escada.
Como decidir entre resolver por <b>sequência</b> ou por <b>combinação</b> em probabilidade?;Use sequência quando a ordem for fixa ou fácil de controlar. Use combinação quando a ordem não importar e o problema pedir grupos sorteados.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Ordem fixa = sequência. Grupo livre = combinação.
Por que a combinação aparece tanto em probabilidade <b>sem reposição e sem ordem</b>?;Porque nesse cenário o resultado é um grupo de elementos retirados, e grupos sem ordem são contados por combinação.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sorteio sem ordem é comissão de bolas.
Por que a potência aparece tanto em probabilidade <b>com reposição</b>?;Porque a mesma chance pode se repetir em várias etapas independentes, como 0,8⁶ ou 0,3⁴.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Mesma probabilidade repetida vira potência.
Qual é o erro mais comum na <b>Regra do E com reposição</b>?;O erro mais comum é reduzir o denominador mesmo quando o item voltou ao conjunto. Com reposição, o total deve permanecer o mesmo.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Voltou, não diminua.
Qual é o erro mais comum na <b>Regra do E sem reposição</b>?;O erro mais comum é manter o denominador igual. Sem reposição, o total diminui a cada retirada.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Não voltou, diminua.
Qual é o erro mais comum em questões <b>sem ordem</b>?;O erro mais comum é calcular apenas uma sequência e esquecer as outras ordens possíveis, ou deixar de usar combinação quando o resultado é um grupo.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sem ordem não significa uma ordem só.
Qual é o erro mais comum em questões <b>nesta ordem</b>?;O erro mais comum é multiplicar por permutações mesmo quando a sequência já foi fixada pelo enunciado.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sequência fixa não aceita bagunça.
