Frente;Verso
Em nome de quem são expedidos o certificado de registro e a autorização de porte das armas de empresas de segurança privada?;São expedidos pela Polícia Federal em nome da <font color="#00e676">empresa</font>, e não em nome individual do vigilante.<br><br><i>Fonte: Lei nº 10.826/2003, art. 7º, conforme alteração mencionada no material</i><hr><b>BIZU:</b> Porte da segurança privada é institucional da empresa.
O que mudou com a Lei nº 14.967/2024 sobre segurança privada, segundo o material?;O material informa que passaram a ser consideradas empresas de segurança privada também aquelas que prestem serviço para esse fim, incluindo empresas e condomínios edilícios com serviços orgânicos de segurança privada.<br><br><i>Fonte: Lei nº 14.967/2024, conforme material</i><hr><b>BIZU:</b> Segurança privada foi ampliada, inclusive para segurança orgânica.
Qual é o prazo para comunicação de perda, furto, roubo ou extravio de arma de empresa de segurança privada?;A diretoria ou gerência da empresa deve comunicar o fato à Polícia Federal nas primeiras <font color="#ffeb3b">24 horas</font> depois da ocorrência.<br><br><i>Fonte: Lei nº 10.826/2003, art. 7º, conforme material</i><hr><b>BIZU:</b> Extraviou arma da empresa, relógio de 24 horas começa.
Qual é a consequência da omissão na comunicação de extravio de arma por empresa de segurança privada?;A omissão na comunicação pode acarretar responsabilidade penal, além das providências administrativas cabíveis.<br><br><i>Fonte: Lei nº 10.826/2003, art. 7º e art. 13, parágrafo único</i><hr><b>BIZU:</b> Silêncio sobre arma extraviada vira problema penal.
Entidades de desporto com uso de arma podem ter integrantes autorizados ao porte?;<b>Sim.</b> Integrantes de entidades de desporto legalmente constituídas, cujas atividades demandem armas de fogo, podem ser autorizados, observada a legislação aplicável.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, IX</i><hr><b>BIZU:</b> Aqui entram clubes e atividades de tiro, mas com controle.
O que significa a categoria <b>CAC</b>?;CAC significa colecionadores, atiradores e caçadores, categoria ligada a atividades de coleção, tiro desportivo e caça, com regras próprias de registro e trânsito.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> CAC = Colecionador, Atirador, Caçador.
CAC pode transportar arma de fogo livremente?;<b>Não.</b> Colecionadores, atiradores e caçadores podem transportar arma mediante Guia de Trânsito, desmuniciada, com a munição devidamente acondicionada.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> CAC não é porte livre. É trânsito controlado.
Qual é a diferença entre <b>porte</b> e <b>guia de trânsito</b> para CAC?;O porte permite levar arma consigo nas hipóteses legais. A guia de trânsito autoriza deslocamento específico da arma, normalmente desmuniciada e com munição acondicionada, dentro das condições autorizadas.<br><br><i>Fonte: Lei nº 10.826/2003, art. 9º, conforme material</i><hr><b>BIZU:</b> Guia de trânsito é caminho autorizado, não porte cotidiano.
Integrantes da Receita Federal podem portar arma de fogo?;<b>Sim.</b> Integrantes das carreiras de Auditoria da Receita Federal do Brasil, como Auditor-Fiscal e Analista Tributário, estão no rol legal de porte.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, X</i><hr><b>BIZU:</b> Fiscalização tributária pode envolver risco operacional.
Auditores-Fiscais do Trabalho podem portar arma de fogo?;<b>Sim.</b> Integrantes da carreira de Auditoria-Fiscal do Trabalho também estão incluídos no rol de autorizados ao porte.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, X</i><hr><b>BIZU:</b> Auditor do trabalho fiscaliza situações potencialmente perigosas.
O porte das carreiras da Receita Federal e Auditoria-Fiscal do Trabalho é livre ou apenas em serviço?;Segundo o material, esse porte é <font color="#ff4444">apenas em serviço</font> e tem validade em todo o país.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, X</i><hr><b>BIZU:</b> Receita e Trabalho: nacional, mas em serviço.
Auditores da Receita e do Trabalho devem comprovar capacidade técnica e aptidão psicológica?;<b>Sim.</b> O material destaca a exigência de capacidade técnica e aptidão psicológica para essas carreiras.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, X</i><hr><b>BIZU:</b> Porte funcional técnico também cobra preparo técnico e psicológico.
Tribunais do Poder Judiciário podem ter servidores autorizados a portar arma?;<b>Sim.</b> Tribunais do Poder Judiciário descritos no art. 92 da Constituição podem ter servidores de seus quadros pessoais autorizados ao porte, para funções de segurança, conforme regulamento do CNJ.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, XI</i><hr><b>BIZU:</b> Judiciário pode ter segurança armada própria, mas para servidores da segurança.
Ministérios Públicos podem ter servidores autorizados a portar arma?;<b>Sim.</b> O Ministério Público da União e os Ministérios Públicos dos Estados podem ter servidores de seus quadros pessoais autorizados ao porte para funções de segurança, conforme regulamento do CNMP.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, XI</i><hr><b>BIZU:</b> MP também entra pela proteção institucional.
As armas dos servidores de segurança do Judiciário e do MP pertencem aos servidores?;<b>Não.</b> Segundo o material, as armas são de propriedade, responsabilidade e guarda das respectivas instituições, e somente podem ser utilizadas quando em serviço.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, XI, conforme material</i><hr><b>BIZU:</b> Judiciário e MP: arma da instituição, uso em serviço.
A autorização de porte para servidores de segurança do Judiciário e do MP é expedida em nome de quem?;O certificado de registro e a autorização de porte são expedidos pela Polícia Federal em nome da instituição.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, XI, conforme material</i><hr><b>BIZU:</b> O porte é institucional, não pessoal.
O Estatuto previa limite de 50 por cento dos servidores de segurança do Judiciário e do MP com porte?;<b>Sim.</b> O material afirma que havia limitação de até <font color="#ffeb3b">50%</font> dos servidores da área de segurança com direito ao porte, mas que o STF entendeu essa limitação como inconstitucional em dezembro de 2024.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, XI</i><hr><b>BIZU:</b> Número de 50% virou pegadinha, pois o material aponta inconstitucionalidade.
Agentes e inspetores de trânsito podem receber porte de arma por lei distrital?;<b>Não.</b> Segundo o STF, lei distrital não pode conferir porte de arma nem determinar exercício de atividade de segurança pública a agentes e inspetores de trânsito.<br><br><i>Fonte: STF, ADI 3996, conforme material</i><hr><b>BIZU:</b> Trânsito não vira segurança pública armada por lei distrital.
Quem concede a autorização de porte de arma de fogo de uso permitido para defesa pessoal?;A autorização de porte de arma de fogo de uso permitido é de competência da <font color="#00e676">Polícia Federal</font>, após autorização do Sinarm, conforme o art. 10.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10</i><hr><b>BIZU:</b> Defesa pessoal passa pela PF e pelo Sinarm.
A autorização de porte de defesa pessoal pode ter eficácia limitada?;<b>Sim.</b> A autorização pode ser concedida com eficácia temporária e territorial limitada, nos termos de atos regulamentares.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10, § 1º</i><hr><b>BIZU:</b> Porte de defesa pessoal pode ter prazo e território.
Quais requisitos o interessado deve demonstrar para obter porte de defesa pessoal?;Deve demonstrar efetiva necessidade por atividade profissional de risco ou ameaça à integridade física, atender às exigências do art. 4º, e apresentar documentação de propriedade e registro da arma.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10, § 1º</i><hr><b>BIZU:</b> Porte pessoal exige RAR: risco, art. 4º, registro.
A simples vontade de se proteger é suficiente para porte de defesa pessoal?;<b>Não.</b> É necessário demonstrar efetiva necessidade por exercício de atividade profissional de risco ou ameaça à integridade física, além dos demais requisitos.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10, § 1º</i><hr><b>BIZU:</b> Medo genérico não basta. A lei exige necessidade demonstrada.
Quando a autorização de porte de defesa pessoal perde automaticamente sua eficácia?;Perde automaticamente a eficácia se o portador for detido ou abordado em estado de embriaguez ou sob efeito de substâncias químicas ou alucinógenas.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10, § 2º</i><hr><b>BIZU:</b> Porte pessoal + embriaguez na abordagem = porte cai.
A perda automática do porte por embriaguez se aplica aos profissionais do art. 6º?;Segundo o material, <b>não</b>. Essa perda automática se aplica ao porte de defesa pessoal do art. 10, não aos profissionais do art. 6º.<br><br><i>Fonte: Material Estratégia, comentário ao art. 10, § 2º</i><hr><b>BIZU:</b> Art. 10, § 2º mira o porte pessoal, não o porte institucional.
A perda automática do porte ocorre se a pessoa estiver embriagada sem portar a arma?;Segundo o material, <b>não</b>. A perda exige que a pessoa seja encontrada em estado de embriaguez ou sob efeito de substâncias e esteja com a arma no contexto da abordagem.<br><br><i>Fonte: Material Estratégia, comentário ao art. 10, § 2º</i><hr><b>BIZU:</b> Embriaguez em casa com arma guardada não gera automaticamente perda do porte.
Quem é o <b>caçador de subsistência</b>?;É o residente em área rural, maior de <font color="#ffeb3b">25 anos</font>, que comprova depender do emprego de arma de fogo para prover sua subsistência alimentar familiar.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, § 5º</i><hr><b>BIZU:</b> Subsistência é comida da família, não esporte.
Qual tipo de arma pode ser concedido ao caçador de subsistência?;Pode ser concedido porte de uma arma de uso permitido, de tiro simples, com um ou dois canos, de alma lisa e calibre igual ou inferior a <font color="#ffeb3b">16</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, § 5º</i><hr><b>BIZU:</b> Caçador de subsistência tem arma simples, não arsenal.
Quais documentos devem acompanhar o requerimento do caçador de subsistência?;Documento de identificação pessoal, comprovante de residência em área rural e atestado de bons antecedentes.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, § 5º</i><hr><b>BIZU:</b> ID, ruralidade e bons antecedentes.
O caçador de subsistência é o mesmo que caçador esportivo?;<b>Não.</b> O caçador de subsistência caça para alimentação própria e familiar. O caçador esportivo atua em outra lógica, ligada à prática desportiva e às regras de CAC.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, § 5º</i><hr><b>BIZU:</b> Subsistência é sobrevivência, esporte é atividade desportiva.
O que acontece se o caçador de subsistência der outro uso à sua arma?;Ele responderá, conforme o caso, por porte ilegal ou disparo de arma de fogo de uso permitido, independentemente de outras tipificações penais.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, § 6º</i><hr><b>BIZU:</b> Arma de subsistência tem finalidade presa: caça alimentar.
O caçador de subsistência depende apenas do Estatuto do Desarmamento?;<b>Não.</b> O material destaca que ele também depende de registro e licença expedida pelo IBAMA para desempenhar a atividade.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, § 5º</i><hr><b>BIZU:</b> Caça envolve arma e meio ambiente, então entra IBAMA.
Quem autoriza porte de arma para responsáveis pela segurança de cidadãos estrangeiros em visita ou sediados no Brasil?;Compete ao <font color="#00e676">Ministério da Justiça</font> autorizar o porte de arma para responsáveis pela segurança de cidadãos estrangeiros em visita ou sediados no Brasil.<br><br><i>Fonte: Lei nº 10.826/2003, art. 9º</i><hr><b>BIZU:</b> Estrangeiro protegido no Brasil chama Ministério da Justiça.
Quem concede registro e porte de trânsito para colecionadores, atiradores e caçadores?;Compete ao <font color="#00e676">Comando do Exército</font> conceder registro e porte de trânsito de arma de fogo para colecionadores, atiradores e caçadores, nos termos do regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 9º</i><hr><b>BIZU:</b> CAC chama Exército.
Quem cuida do porte de trânsito para representantes estrangeiros em competição internacional oficial de tiro no Brasil?;Compete ao <font color="#00e676">Comando do Exército</font>, nos termos do regulamento, tratar do registro e concessão de porte de trânsito para representantes estrangeiros em competição internacional oficial de tiro no território nacional.<br><br><i>Fonte: Lei nº 10.826/2003, art. 9º</i><hr><b>BIZU:</b> Competição internacional de tiro no Brasil também chama Exército.
[PONTE] Compare <b>Polícia Federal</b>, <b>Ministério da Justiça</b> e <b>Comando do Exército</b> no tema porte.;A Polícia Federal atua na autorização de porte de uso permitido, especialmente defesa pessoal, após autorização do Sinarm. O Ministério da Justiça autoriza porte para segurança de cidadãos estrangeiros. O Comando do Exército trata do registro e porte de trânsito de CACs e representantes estrangeiros em competição de tiro.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 9º e 10</i><hr><b>BIZU:</b> PF = porte pessoal. MJ = segurança de estrangeiro. Exército = CAC e tiro internacional.
[PONTE] Por que o porte institucional não deve ser confundido com posse residencial?;Porque o porte institucional decorre da função exercida e permite circulação armada nas condições legais. A posse residencial decorre do certificado de registro e limita a arma à residência, dependência ou local de trabalho autorizado.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 5º e 6º</i><hr><b>BIZU:</b> Função autoriza porte. Registro comum autoriza posse.
[PONTE] Como a jurisprudência do STF sobre guardas municipais mudou a leitura literal antiga do art. 6º?;A leitura antiga vinculava o porte a critérios populacionais. O STF afastou essa limitação por inconstitucionalidade, permitindo porte a todos os integrantes das guardas municipais, independentemente do número de habitantes.<br><br><i>Fonte: STF, ADC 38, ADI 5538 e ADI 5948, conforme material</i><hr><b>BIZU:</b> Quando a lei antiga fala em população, lembre da correção do STF.
[PONTE] Como diferenciar <b>CAC</b> de <b>caçador de subsistência</b>?;CAC é categoria ligada a colecionamento, tiro desportivo e caça regulamentada, com trânsito mediante guia. Caçador de subsistência é residente rural maior de 25 anos que depende da caça para alimentação familiar e recebe autorização específica para arma simples.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, § 5º e art. 9º</i><hr><b>BIZU:</b> CAC é atividade regulamentada. Subsistência é sobrevivência alimentar.
[PONTE] Por que o art. 10 é mais restritivo que o art. 6º?;Porque o art. 6º trata de hipóteses institucionais ligadas a cargos e funções. O art. 10 trata do porte individual de defesa pessoal, exigindo efetiva necessidade, requisitos do art. 4º, documentação de propriedade e registro da arma.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 6º e 10</i><hr><b>BIZU:</b> Art. 6º nasce do cargo. Art. 10 precisa provar necessidade.
[PONTE] Como a regra do porte de defesa pessoal se conecta com a perda por embriaguez?;O porte de defesa pessoal é autorização individual baseada em necessidade e responsabilidade. Por isso, se o portador é abordado com a arma em estado de embriaguez ou sob efeito de substâncias, a autorização perde automaticamente a eficácia.<br><br><i>Fonte: Lei nº 10.826/2003, art. 10, § 2º</i><hr><b>BIZU:</b> Quem recebe confiança individual perde a autorização se porta sem autocontrole.
[PONTE] Qual é a lógica comum entre segurança privada, Judiciário e Ministério Público quanto às armas?;Nesses casos, as armas pertencem à instituição ou empresa, ficam sob sua responsabilidade e são utilizadas para serviço, não como patrimônio pessoal do agente que as manuseia.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 6º e 7º, conforme material</i><hr><b>BIZU:</b> Arma institucional não vira arma pessoal.
[PONTE] Por que o material destaca tanto <b>capacidade técnica</b> e <b>aptidão psicológica</b>?;Porque esses requisitos aparecem em várias hipóteses de autorização, funcionando como filtro de segurança para quem manipula arma de fogo em atividades institucionais ou pessoais.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 4º, 6º e 10</i><hr><b>BIZU:</b> Arma exige mão treinada e mente apta.
