Quais são as três modalidades de delegação de serviços públicos trabalhadas no material?;As três modalidades são <font color="#00e676">concessão</font>, <font color="#00e676">permissão</font> e <font color="#00e676">autorização</font>.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">CPA</font>, Concessão, Permissão, Autorização.
A permissão de serviço público exige licitação?;<b>Sim</b>. A permissão deve ser precedida de licitação, mas a Lei 8.987/1995 não fixa modalidade específica para ela.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> Permissão exige licitação, mas não exige necessariamente concorrência ou diálogo competitivo.
A permissão pode ser feita a pessoa física?;<b>Sim</b>. Diferentemente da concessão, a permissão pode ser feita a pessoa física ou pessoa jurídica.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> Pessoa física lembra permissão.
A permissão é formalizada por contrato?;<b>Sim</b>. A permissão de serviço público é formalizada mediante <font color="#00e676">contrato de adesão</font>.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> Pegadinha clássica: permissão não é mero ato administrativo na Lei 8.987/1995. É contrato de adesão.
O que significa dizer que a permissão tem caráter <b>precário</b>?;Significa que a delegação é revogável unilateralmente pelo poder concedente, conforme a lei, com menor estabilidade que a concessão.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> Precário = frágil, revogável, menos estável.
A permissão possui natureza contratual ou ato administrativo?;Na Lei 8.987/1995, a permissão possui <font color="#00e676">natureza contratual</font>, pois é formalizada por contrato de adesão.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> Antes a doutrina falava muito em ato. Para prova da Lei 8.987/1995, guarde: contrato de adesão.
Qual é a principal diferença subjetiva entre concessão e permissão?;A concessão só pode ser celebrada com <font color="#00e676">pessoa jurídica ou consórcio de empresas</font>. A permissão pode ser celebrada com <font color="#00e676">pessoa física ou jurídica</font>.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II e IV</i><hr><b>BIZU:</b> Concessão é para PJ ou consórcio. Permissão aceita PF.
Qual é a principal diferença licitatória entre concessão e permissão?;A concessão exige concorrência ou diálogo competitivo, ressalvadas exceções legais específicas. A permissão exige licitação, mas sem modalidade legal específica na Lei 8.987/1995.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II e IV</i><hr><b>BIZU:</b> Concessão tem modalidade carimbada. Permissão só tem exigência de licitar.
Qual é a principal diferença quanto à estabilidade entre concessão e permissão?;A concessão não é marcada pela precariedade. A permissão é delegada a título precário e possui revogabilidade unilateral pelo poder concedente.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> Concessão = mais estável. Permissão = mais precária.
A permissão comporta prazo determinado?;<b>Sim</b>, conforme a posição adotada no material. Apesar da precariedade, autores como Marcelo Alexandrino e Vicente Paulo entendem que a permissão deve possuir prazo determinado e pode admitir prorrogação.<br><br><i>Fonte: Doutrina de Marcelo Alexandrino e Vicente Paulo</i><hr><b>BIZU:</b> Prazo determinado não elimina a precariedade da permissão.
A permissão pode ser atribuída a consórcio de empresas?;Segundo a tabela do material, <b>não há previsão</b> de permissão a consórcio de empresas. A permissão é para pessoa física ou jurídica.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> Consórcio aparece na concessão, não na permissão.
A concessão é prestada em nome de quem?;A concessionária presta o serviço em <font color="#00e676">seu próprio nome</font>, por sua conta e risco, sob fiscalização do poder concedente.<br><br><i>Fonte: Doutrina de concessões</i><hr><b>BIZU:</b> A empresa aparece para o usuário, mas o serviço continua de titularidade estatal.
Na concessão, quem assume o risco econômico da atividade?;A concessionária assume o serviço por sua <font color="#00e676">conta e risco</font>. Se houver prejuízo da atividade, em regra, ela arca com os custos próprios da exploração.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II</i><hr><b>BIZU:</b> Delegação não é garantia de lucro. Há risco empresarial.
A prestação por conta e risco afasta todo direito ao equilíbrio econômico-financeiro?;<b>Não</b>. Embora a concessionária assuma riscos ordinários do negócio, o contrato preserva o equilíbrio econômico-financeiro nas hipóteses legais, como alteração unilateral e eventos extraordinários.<br><br><i>Fonte: Lei 8.987/1995, arts. 9º e 10</i><hr><b>BIZU:</b> Conta e risco não significa abandono econômico pelo Estado.
O que é <b>contrato de adesão</b> na permissão?;É o contrato cujas cláusulas são previamente estabelecidas por uma parte, cabendo à outra aceitar ou não. Na permissão, a Lei 8.987/1995 menciona expressamente essa forma.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> A banca ama a literalidade: permissão = contrato de adesão.
Todos os contratos administrativos têm, em alguma medida, natureza de adesão?;<b>Sim</b>. Tecnicamente, os contratos administrativos têm cláusulas previamente estabelecidas no edital e na minuta contratual. Porém, a Lei 8.987/1995 menciona expressamente contrato de adesão apenas para a permissão.<br><br><i>Fonte: Doutrina de contratos administrativos</i><hr><b>BIZU:</b> Tecnicamente todos aderem, legalmente a permissão recebeu o carimbo expresso.
Concessão e permissão exigem lei autorizativa prévia?;<b>Sim, como regra</b>. A delegação por concessão ou permissão deve ser autorizada por lei específica, salvo exceções previstas na Lei 9.074/1995.<br><br><i>Fonte: Lei 9.074/1995, art. 2º</i><hr><b>BIZU:</b> Delegar serviço público relevante exige autorização política legislativa.
Quais serviços dispensam lei autorizativa específica para concessão ou permissão segundo a Lei 9.074/1995?;Não precisam de lei autorizativa específica: <font color="#00e676">saneamento básico</font>, <font color="#00e676">limpeza urbana</font> e serviços já previstos como delegáveis na Constituição Federal, constituições estaduais, leis orgânicas do DF e dos municípios.<br><br><i>Fonte: Lei 9.074/1995, art. 2º</i><hr><b>BIZU:</b> Exceções: saneamento, limpeza urbana e delegação já autorizada no texto constitucional ou orgânico.
A autorização de serviço público está disciplinada na Lei 8.987/1995?;<b>Não</b>. A autorização não é referida no art. 175 da CF/88 e não está disciplinada na Lei 8.987/1995, embora apareça em outros dispositivos constitucionais.<br><br><i>Fonte: CF/88, arts. 21 e 223</i><hr><b>BIZU:</b> Lei 8.987/1995 trabalha concessão e permissão, não autorização.
Onde a Constituição menciona autorização de serviços públicos?;A autorização aparece, por exemplo, no art. 21, XI e XII, e no art. 223, relativo à outorga e renovação de concessão, permissão e autorização para radiodifusão sonora e de sons e imagens.<br><br><i>Fonte: CF/88, arts. 21 e 223</i><hr><b>BIZU:</b> Autorização está na Constituição, mas fora do núcleo do art. 175.
Em quais situações a autorização de serviço público costuma ser aplicada segundo a doutrina?;Aplica-se em duas situações principais: serviços destinados a grupo restrito de usuários, em que o autorizado é beneficiário principal ou exclusivo, e situações emergenciais, transitórias ou especiais.<br><br><i>Fonte: Doutrina de Alexandrino e Paulo</i><hr><b>BIZU:</b> Autorização combina com restrição, emergência e transitoriedade.
Qual exemplo o material apresenta para autorização destinada a grupo restrito de usuários?;O material cita o serviço de telecomunicação exercido por praticantes de radioamadorismo, em que o radioamador é o beneficiário principal ou exclusivo.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Radioamador = exemplo clássico de autorização restrita.
Qual exemplo o material apresenta para autorização em situação emergencial ou especial?;O material menciona o Decreto 2.521/1998, que define autorização como delegação ocasional, por prazo limitado ou viagem certa, para serviços de transporte em caráter emergencial ou especial.<br><br><i>Fonte: Decreto 2.521/1998</i><hr><b>BIZU:</b> Viagem certa, prazo limitado e emergência apontam para autorização.
Qual é a natureza jurídica da autorização de serviço público?;A autorização é, em regra, <font color="#00e676">ato administrativo unilateral</font>, <font color="#00e676">discricionário</font> e <font color="#00e676">precário</font>.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Autorização = UDP, unilateral, discricionária e precária.
O que significa dizer que autorização é <b>ato unilateral</b>?;Significa que é concedida por manifestação exclusiva do Poder Público, sem celebração de contrato administrativo.<br><br><i>Fonte: Doutrina de atos administrativos</i><hr><b>BIZU:</b> Um lado decide: a Administração autoriza.
O que significa dizer que autorização é <b>discricionária</b>?;Significa que, em regra, o agente público pode conceder ou não a autorização conforme conveniência e oportunidade, respeitados os limites legais.<br><br><i>Fonte: Doutrina de atos administrativos</i><hr><b>BIZU:</b> Discricionariedade = margem de escolha administrativa.
Existe autorização legalmente definida como ato vinculado?;<b>Sim</b>. A autorização de serviço de telecomunicações é definida pela Lei Geral de Telecomunicações como <font color="#ffeb3b">ato administrativo vinculado</font>.<br><br><i>Fonte: Lei 9.472/1997, art. 131, §1º</i><hr><b>BIZU:</b> Regra: autorização discricionária. Exceção famosa: telecomunicações, autorização vinculada.
O que significa dizer que autorização é <b>precária</b>?;Significa que pode ser revogada a qualquer momento, conforme o interesse público, sem gerar direito à indenização ao administrado, como regra.<br><br><i>Fonte: Doutrina de atos administrativos</i><hr><b>BIZU:</b> Precária = pode cair a qualquer tempo.
A autorização exige licitação?;<b>Não</b>. A autorização, por ser ato administrativo unilateral, precário e normalmente discricionário, não exige licitação.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Concessão e permissão licitam. Autorização, em regra, não.
A autorização exige lei autorizativa prévia?;<b>Não</b>. A autorização não exige lei autorizativa prévia, diferentemente da regra aplicável à concessão e à permissão.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Autorização é mais simples: sem contrato, sem licitação, sem lei autorizativa específica.
A autorização pode ser feita por prazo indeterminado?;<b>Sim</b>. Como regra, a autorização pode ser feita por prazo indeterminado, pois é precária e revogável a qualquer tempo.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Prazo indeterminado combina com precariedade.
Compare concessão, permissão e autorização quanto ao instrumento jurídico.;Concessão é formalizada por <font color="#00e676">contrato administrativo</font>. Permissão é formalizada por <font color="#00e676">contrato de adesão</font>. Autorização é formalizada por <font color="#00e676">ato administrativo unilateral</font>.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> Contrato, contrato de adesão, ato. Essa sequência derruba muita questão.
Compare concessão, permissão e autorização quanto aos destinatários.;Concessão: pessoa jurídica ou consórcio de empresas. Permissão: pessoa física ou jurídica. Autorização: pessoa física ou jurídica.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> Só a concessão fala em consórcio. Só a concessão exclui pessoa física.
Compare concessão, permissão e autorização quanto à licitação.;Concessão exige licitação, em regra concorrência ou diálogo competitivo. Permissão exige licitação, sem modalidade específica na Lei 8.987/1995. Autorização não exige licitação.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> Concessão = licitação forte. Permissão = licitação sem modalidade fixa. Autorização = sem licitação.
Compare concessão, permissão e autorização quanto à precariedade.;Concessão não possui precariedade como característica. Permissão é delegada a título precário. Autorização também é precária e revogável a qualquer tempo.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> P e A são precárias. C é contratual mais estável.
O termo <b>concessão</b> pode ter vários sentidos no Direito Administrativo?;<b>Sim</b>. Pode envolver concessão de serviço público, obra pública, uso de bem público, direito real de uso, uso para fins de moradia, exploração de minas e jazidas, e concessão administrativa.<br><br><i>Fonte: Maria Sylvia Zanella Di Pietro</i><hr><b>BIZU:</b> Concessão é palavra guarda-chuva. Em serviços públicos, foque nas modalidades da Lei 8.987/1995 e PPPs.
Quais são as três categorias de concessão de serviço público trabalhadas no material?;São: <font color="#00e676">concessão comum ou ordinária</font>, <font color="#00e676">concessão patrocinada</font> e <font color="#00e676">concessão administrativa</font>.<br><br><i>Fonte: Lei 8.987/1995 e Lei 11.079/2004</i><hr><b>BIZU:</b> Comum, patrocinada e administrativa: três modelos de concessão.
O que é <b>concessão comum</b>?;É a concessão ordinária, prevista na Lei 8.987/1995, em que a remuneração básica decorre de tarifa paga pelo usuário ou de outra forma de remuneração decorrente da própria exploração do serviço.<br><br><i>Fonte: Lei 8.987/1995</i><hr><b>BIZU:</b> Comum = usuário paga a tarifa, e a exploração do serviço sustenta a concessão.
O que é <b>concessão patrocinada</b>?;É modalidade de PPP em que há tarifa paga pelos usuários e, adicionalmente, contraprestação pecuniária do parceiro público ao parceiro privado.<br><br><i>Fonte: Lei 11.079/2004</i><hr><b>BIZU:</b> Patrocinada = usuário paga + Estado complementa.
O que é <b>concessão administrativa</b>?;É modalidade de PPP em que a remuneração básica do parceiro privado é constituída por contraprestação feita pelo parceiro público, sendo a Administração usuária direta ou indireta do serviço.<br><br><i>Fonte: Lei 11.079/2004</i><hr><b>BIZU:</b> Administrativa = quem paga basicamente é a Administração.
Qual é a diferença financeira entre concessão comum, patrocinada e administrativa?;Na comum, a remuneração vem da tarifa do usuário e receitas da exploração. Na patrocinada, há tarifa do usuário mais contraprestação pública. Na administrativa, a remuneração básica vem da Administração.<br><br><i>Fonte: Lei 8.987/1995 e Lei 11.079/2004</i><hr><b>BIZU:</b> Comum = usuário. Patrocinada = usuário + Estado. Administrativa = Estado.
Quando o serviço é deficitário e precisa de aporte financeiro do Poder Público além da tarifa, qual concessão tende a ser utilizada?;A hipótese se aproxima da <font color="#00e676">concessão patrocinada</font>, pois há tarifa cobrada dos usuários e contraprestação pecuniária do parceiro público ao parceiro privado.<br><br><i>Fonte: Lei 11.079/2004</i><hr><b>BIZU:</b> Se a tarifa sozinha não fecha a conta, entra o patrocínio estatal.
Quando não é viável cobrar tarifa do usuário e a remuneração vem do parceiro público, qual modalidade pode ser adequada?;Pode ser adequada a <font color="#00e676">concessão administrativa</font>, em que a Administração Pública é usuária direta ou indireta e remunera o parceiro privado.<br><br><i>Fonte: Lei 11.079/2004</i><hr><b>BIZU:</b> Sem tarifa individual, pense em concessão administrativa.
Qual lei disciplina a concessão comum de serviço público?;A concessão comum é disciplinada principalmente pela <font color="#00e676">Lei 8.987/1995</font>, além da Lei 9.074/1995 e normas setoriais específicas.<br><br><i>Fonte: Lei 8.987/1995</i><hr><b>BIZU:</b> Concessão comum = Lei das Concessões.
Qual lei instituiu as PPPs no Brasil?;As parcerias público-privadas foram instituídas pela <font color="#00e676">Lei 11.079/2004</font>, que trouxe a concessão patrocinada e a concessão administrativa.<br><br><i>Fonte: Lei 11.079/2004</i><hr><b>BIZU:</b> PPP = Lei 11.079/2004.
Por que a concessão comum não se confunde com PPP?;Porque na concessão comum a remuneração básica decorre da tarifa do usuário ou da exploração do serviço. Nas PPPs, há participação direta do parceiro público na remuneração, seja junto com tarifa na patrocinada, seja como remuneração básica na administrativa.<br><br><i>Fonte: Lei 8.987/1995 e Lei 11.079/2004</i><hr><b>BIZU:</b> PPP tem dinheiro público estruturando a remuneração.
[QUESTÃO INPI - 2013] A permissão pode ser feita à pessoa física ou jurídica, por sua conta e risco. A concessão só à pessoa jurídica ou consórcio de empresas. Certo ou errado?;<b>Certo</b>. A permissão admite pessoa física ou jurídica. A concessão somente admite pessoa jurídica ou consórcio de empresas, ambos por conta e risco do delegatário.<br><br><i>Fonte: Questão INPI - 2013</i><hr><b>BIZU:</b> Pessoa física = permissão. Consórcio = concessão.
[QUESTÃO INPI - 2013] Tanto concessão de serviço público quanto autorização de serviço público são constituídas por contrato administrativo. Certo ou errado?;<b>Errado</b>. A concessão é formalizada por contrato administrativo, mas a autorização é ato administrativo unilateral, sem contrato administrativo.<br><br><i>Fonte: Questão INPI - 2013</i><hr><b>BIZU:</b> Autorização não contrata. Autorização autoriza.
[QUESTÃO TCU - 2013] A permissão possui contornos bilaterais, mas não tem natureza contratual. Certo ou errado?;<b>Errado</b>. A permissão possui natureza contratual, pois a Lei 8.987/1995 determina que seja formalizada por contrato de adesão.<br><br><i>Fonte: Questão TCU - 2013</i><hr><b>BIZU:</b> Permissão = contrato de adesão. Essa é a palavra-gatilho.
[QUESTÃO MIN - 2013] A delegação a título precário diferencia permissão e concessão. Certo ou errado?;<b>Certo</b>. A precariedade é característica da permissão, não da concessão.<br><br><i>Fonte: Questão MIN - 2013</i><hr><b>BIZU:</b> Precária começa com P de Permissão.
[QUESTÃO PF - 2012] Contratos de concessão de serviços públicos sempre exigem licitação prévia na modalidade concorrência. Certo ou errado?;<b>Errado</b>. A afirmação fica incorreta pelo “sempre”, pois atualmente a concessão pode ocorrer por concorrência ou diálogo competitivo, além da exceção específica do leilão na Lei 9.074/1995.<br><br><i>Fonte: Questão PF - 2012 e legislação atualizada</i><hr><b>BIZU:</b> Cuidado com “sempre”. Concessão não é só concorrência.
[QUESTÃO MIN - 2013] Nos casos de interesse público imediato, a licitação pode ser dispensada para concessões não precedidas de obra. Certo ou errado?;<b>Errado</b>. A concessão de serviço público, precedida ou não de obra pública, deve ser precedida de licitação, em regra por concorrência ou diálogo competitivo.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II e III</i><hr><b>BIZU:</b> Interesse público imediato não cria dispensa genérica de licitação para concessão.
[QUESTÃO TCE ES - 2012] A principal diferença entre concessão e permissão é a natureza jurídica: concessão é contrato e permissão é ato administrativo. Certo ou errado?;<b>Errado</b>. A permissão também possui natureza contratual na Lei 8.987/1995, pois é formalizada por contrato de adesão.<br><br><i>Fonte: Lei 8.987/1995, art. 40</i><hr><b>BIZU:</b> A banca quer te puxar para a doutrina antiga. Na lei, permissão é contrato.
[QUESTÃO PRF - 2012] A concessão de serviço público, precedida ou não da execução de obra pública, será formalizada mediante contrato administrativo. Certo ou errado?;<b>Certo</b>. A concessão, com ou sem obra pública prévia, será formalizada mediante contrato, nos termos da Lei 8.987/1995.<br><br><i>Fonte: Lei 8.987/1995, art. 4º</i><hr><b>BIZU:</b> Concessão sempre passa pelo contrato administrativo.
[QUESTÃO PRF - 2012] A permissão é delegação a título precário, independentemente de licitação, feita a pessoa física ou jurídica. Certo ou errado?;<b>Errado</b>. A permissão realmente é precária e pode ser feita a pessoa física ou jurídica, mas depende de licitação.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> O erro está em “independentemente de licitação”. Permissão também licita.
[QUESTÃO DPF - 2013] Na permissão, o serviço é executado em nome do Estado, por conta e risco do permissionário, e é atribuído exclusivamente à pessoa jurídica. Certo ou errado?;<b>Errado</b>. Na permissão, o serviço é prestado em nome do permissionário, por sua conta e risco, e pode ser atribuído a pessoa física ou jurídica.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> Dois erros clássicos: não é em nome do Estado e não é só pessoa jurídica.
