Quais são os <b>princípios explícitos</b> da Administração Pública no art. 37 da CF/88?;São <font color="#00e676">legalidade</font>, <font color="#00e676">impessoalidade</font>, <font color="#00e676">moralidade</font>, <font color="#00e676">publicidade</font> e <font color="#00e676">eficiência</font>.<br><br><i>Fonte: Art. 37, caput, CF/88</i><hr><b>BIZU:</b> Mnemônico clássico: <font color="#ffeb3b">LIMPE</font>. Legalidade, Impessoalidade, Moralidade, Publicidade, Eficiência.
Quando a publicação em órgão oficial é requisito de eficácia do ato administrativo?;Quando se tratar de ato administrativo geral que deva produzir efeitos externos ou que onere o patrimônio público. Exemplo: uma portaria geral só produz efeitos após publicação oficial.<br><br><i>Fonte: Princípio da publicidade</i><hr><b>BIZU:</b> Sem publicação, o ato pode até existir, mas ainda não produz efeitos externos.
Como o art. 5º, XXXIII, da CF/88 reforça o princípio da publicidade?;Ele assegura a todos o direito de receber dos órgãos públicos informações de interesse particular, coletivo ou geral, prestadas no prazo da lei, ressalvadas informações cujo sigilo seja imprescindível à segurança da sociedade e do Estado.<br><br><i>Fonte: Art. 5º, XXXIII, CF/88</i><hr><b>BIZU:</b> Regra é informação. Exceção é sigilo necessário.
A Administração deve fornecer toda e qualquer informação disponível?;Não. A regra é a transparência, mas informações cujo sigilo seja imprescindível à segurança da sociedade e do Estado podem ser protegidas.<br><br><i>Fonte: Art. 5º, XXXIII, CF/88</i><hr><b>BIZU:</b> Publicidade não é fofoca estatal irrestrita. Sigilo constitucionalmente necessário é admitido.
Qual entendimento foi firmado na ADPF 872 sobre atos restritivos de publicidade?;O ato público que restringe publicidade deve ser motivado de forma objetiva, específica e formal. São nulos atos genéricos e sem fundamentação válida que impeçam o direito fundamental à informação.<br><br><i>Fonte: ADPF 872, STF</i><hr><b>BIZU:</b> Para negar informação, o Estado tem que explicar de verdade. Negativa genérica não basta.
É válida a divulgação da remuneração de servidores públicos?;Sim. O STF entende ser válida a divulgação da remuneração bruta, cargos, funções e lotação formal de servidores, pois são informações de interesse coletivo ou geral relativas a agentes públicos nessa qualidade.<br><br><i>Fonte: STF, SS 3902 AgR-segundo</i><hr><b>BIZU:</b> Remuneração pública vem de dinheiro público. Por isso, transparência pesa forte.
O que é o <b>princípio da eficiência</b>?;É o princípio que impõe à Administração o dever de buscar melhores resultados, qualidade dos serviços públicos, racionalidade dos gastos e economicidade.<br><br><i>Fonte: Princípio da eficiência</i><hr><b>BIZU:</b> Eficiência = fazer bem, gastar com racionalidade e entregar resultado.
Quando o princípio da eficiência passou a estar expresso na Constituição?;Passou a estar expresso com a <font color="#ffeb3b">Emenda Constitucional nº 19/1998</font>, ligada à reforma administrativa e ao modelo de administração gerencial.<br><br><i>Fonte: EC nº 19/98</i><hr><b>BIZU:</b> Eficiência entrou com a reforma gerencial. Resultado virou palavra de ordem.
Qual modelo administrativo se relaciona ao princípio da eficiência?;A eficiência se relaciona à <font color="#00e676">administração gerencial</font>, que valoriza resultados, qualidade do serviço público e participação do cidadão, tratado como usuário dos serviços públicos.<br><br><i>Fonte: Princípio da eficiência</i><hr><b>BIZU:</b> Burocrática foca no procedimento. Gerencial foca no resultado sem abandonar a legalidade.
O princípio da eficiência permite ignorar a legalidade para alcançar melhores resultados?;Não. A eficiência não substitui a legalidade. O agente público deve atuar conforme a lei e, além disso, buscar o melhor desempenho possível.<br><br><i>Fonte: Princípios da Administração Pública</i><hr><b>BIZU:</b> Resultado sem lei é arbítrio. Lei sem resultado é burocracia morta.
Como a avaliação especial de desempenho concretiza o princípio da eficiência?;A avaliação especial de desempenho é condição para aquisição de estabilidade pelo servidor público, conforme art. 41, § 4º. Ela busca verificar se o servidor apresenta desempenho adequado.<br><br><i>Fonte: Art. 41, § 4º, CF/88</i><hr><b>BIZU:</b> Estabilidade não deve ser prêmio automático. Passa por avaliação de desempenho.
Como a avaliação periódica de desempenho se relaciona à eficiência?;Ela permite a perda do cargo por servidor estável mediante procedimento de avaliação periódica de desempenho, na forma de lei complementar, assegurada ampla defesa.<br><br><i>Fonte: Art. 41, § 1º, III, CF/88</i><hr><b>BIZU:</b> Eficiência também cobra o servidor estável. Mas sempre com ampla defesa.
O que é o <b>contrato de desempenho</b> no contexto da eficiência?;É instrumento pelo qual se podem fixar metas de desempenho para órgãos e entidades da Administração direta e indireta, com ampliação de autonomia gerencial, orçamentária e financeira.<br><br><i>Fonte: Art. 37, § 8º, CF/88</i><hr><b>BIZU:</b> Mais autonomia em troca de metas. Essa é a lógica gerencial.
Como a participação do usuário concretiza a eficiência?;O art. 37, § 3º, prevê que lei disciplinará formas de participação do usuário na Administração Pública direta e indireta, promovendo gestão participativa e melhoria dos serviços.<br><br><i>Fonte: Art. 37, § 3º, CF/88</i><hr><b>BIZU:</b> Usuário não é enfeite. A Constituição quer participação na Administração.
Como as escolas de governo se relacionam com a eficiência?;A União, os Estados e o Distrito Federal manterão escolas de governo para formação e aperfeiçoamento dos servidores, sendo a participação nos cursos um dos requisitos para promoção na carreira.<br><br><i>Fonte: Art. 39, § 2º, CF/88</i><hr><b>BIZU:</b> Servidor melhor treinado, serviço público melhor entregue.
O que é o princípio da <b>economicidade</b>?;É o dever de avaliar o custo-benefício dos gastos públicos, buscando racionalidade na aplicação dos recursos. Ele está relacionado ao princípio da eficiência.<br><br><i>Fonte: Princípio da eficiência e art. 70, caput, CF/88</i><hr><b>BIZU:</b> Economicidade não é gastar menos sempre. É gastar melhor.
O rol de princípios do art. 37 é exaustivo?;Não. Além dos princípios explícitos do art. 37, existem princípios implícitos da Administração Pública, reconhecidos pela doutrina, legislação e jurisprudência.<br><br><i>Fonte: Princípios implícitos da Administração Pública</i><hr><b>BIZU:</b> LIMPE é a vitrine. Mas a loja tem mais princípios.
O que é o princípio da <b>sindicabilidade</b> ou controle judicial dos atos administrativos?;É o princípio segundo o qual os atos administrativos podem ser controlados pelo Poder Judiciário, pois o Brasil adota o sistema inglês de jurisdição única.<br><br><i>Fonte: Princípio da sindicabilidade</i><hr><b>BIZU:</b> Administração decide, mas Judiciário pode controlar legalidade e lesão a direito.
Qual dispositivo constitucional fundamenta o controle judicial dos atos administrativos?;O art. 5º, XXXV, da CF/88, segundo o qual a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito.<br><br><i>Fonte: Art. 5º, XXXV, CF/88</i><hr><b>BIZU:</b> Lesão ou ameaça a direito chama Judiciário para o jogo.
Qual é a diferença entre o sistema inglês e o sistema francês de controle da Administração?;No sistema inglês, adotado no Brasil, há jurisdição única e o Judiciário pode apreciar atos administrativos. No sistema francês, há contencioso administrativo, com controle realizado por estrutura administrativa própria.<br><br><i>Fonte: Princípio da sindicabilidade</i><hr><b>BIZU:</b> Brasil = sistema inglês = Judiciário controla.
O que é o princípio da <b>autotutela</b>?;É o poder-dever da Administração de controlar seus próprios atos, anulando-os quando ilegais e revogando-os por conveniência ou oportunidade, respeitados direitos adquiridos e a apreciação judicial.<br><br><i>Fonte: Súmula 473 do STF e art. 53 da Lei nº 9.784/99</i><hr><b>BIZU:</b> Autotutela = Administração olhando para os próprios atos.
Qual é a diferença entre <b>anulação</b> e <b>revogação</b> na autotutela?;A anulação ocorre quando o ato é ilegal. A revogação ocorre quando o ato é legal, mas deixou de ser conveniente ou oportuno para a Administração.<br><br><i>Fonte: Súmula 473 do STF</i><hr><b>BIZU:</b> Ilegal anula. Inconveniente revoga.
A autotutela afasta o controle judicial?;Não. Mesmo quando a Administração anula ou revoga seus próprios atos, permanece ressalvada a apreciação judicial.<br><br><i>Fonte: Súmula 473 do STF</i><hr><b>BIZU:</b> Autotutela não fecha a porta do Judiciário.
O que estabelece a Súmula 473 do STF?;Estabelece que a Administração pode anular seus próprios atos quando ilegais, porque deles não se originam direitos, ou revogá-los por conveniência ou oportunidade, respeitados direitos adquiridos e ressalvada a apreciação judicial.<br><br><i>Fonte: Súmula 473 do STF</i><hr><b>BIZU:</b> Súmula 473 é a cara da autotutela. Anula ilegal, revoga inconveniente.
O que é o princípio da <b>segurança jurídica</b>?;É o princípio que busca estabilidade, previsibilidade e confiança nas relações jurídicas, vedando, por exemplo, a aplicação retroativa de nova interpretação administrativa.<br><br><i>Fonte: Art. 2º da Lei nº 9.784/99</i><hr><b>BIZU:</b> Segurança jurídica protege confiança. O Estado não pode mudar o jogo para trás.
O que é o princípio da <b>motivação</b>?;É o princípio que exige a declaração dos motivos de fato e de direito que fundamentam a prática do ato administrativo.<br><br><i>Fonte: Princípio da motivação</i><hr><b>BIZU:</b> Motivar é explicar o porquê do ato.
Qual é a diferença entre <b>motivo</b> e <b>motivação</b>?;Motivo é a situação de fato ou de direito que autoriza o ato. Motivação é a exposição, declaração ou explicação desses motivos pela Administração.<br><br><i>Fonte: Princípio da motivação</i><hr><b>BIZU:</b> Motivo é a razão. Motivação é contar a razão.
O que é o princípio da <b>razoabilidade</b>?;É o princípio que exige atuação administrativa coerente, equilibrada e compatível com os fins públicos buscados. Ele impede excessos e arbitrariedades.<br><br><i>Fonte: Princípios implícitos da Administração Pública</i><hr><b>BIZU:</b> Razoabilidade é o freio do absurdo administrativo.
O que é o princípio da <b>proporcionalidade</b>?;É o princípio que exige adequação entre os meios utilizados e os fins pretendidos. Se o meio escolhido for desproporcional ao objetivo, o ato pode ser invalidado pelo Judiciário.<br><br><i>Fonte: Princípio da proporcionalidade</i><hr><b>BIZU:</b> Proporcionalidade pergunta: o remédio é compatível com a doença?
Quais são os três aspectos da <b>proporcionalidade</b>?;São <font color="#00e676">adequação</font>, <font color="#00e676">necessidade</font> e <font color="#00e676">proporcionalidade em sentido estrito</font>.<br><br><i>Fonte: Princípio da proporcionalidade</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">ANP</font>. Adequação, Necessidade, Proporcionalidade estrita.
O que significa <b>adequação</b> dentro da proporcionalidade?;Significa verificar se o meio escolhido é adequado para alcançar o fim pretendido pela Administração.<br><br><i>Fonte: Princípio da proporcionalidade</i><hr><b>BIZU:</b> Adequação pergunta: esse meio serve para chegar ao fim?
O que significa <b>necessidade</b> dentro da proporcionalidade?;Significa verificar se o meio usado é o melhor ou o menos oneroso para alcançar o objetivo pretendido.<br><br><i>Fonte: Princípio da proporcionalidade</i><hr><b>BIZU:</b> Necessidade pergunta: havia meio menos pesado?
O que significa <b>proporcionalidade em sentido estrito</b>?;Significa ponderar a relação entre os meios utilizados e os fins almejados, verificando se o benefício público justifica a restrição imposta.<br><br><i>Fonte: Princípio da proporcionalidade</i><hr><b>BIZU:</b> Proporcionalidade estrita pergunta: o ganho compensa o sacrifício?
O que é o princípio da <b>continuidade do serviço público</b>?;É o princípio segundo o qual os serviços públicos não devem sofrer paralisações indevidas. A atividade pública essencial deve manter regularidade e continuidade.<br><br><i>Fonte: Princípio da continuidade do serviço público</i><hr><b>BIZU:</b> Serviço público não pode parar como se fosse atividade qualquer.
Como a continuidade do serviço público se relaciona com o direito de greve dos servidores?;A continuidade justifica restrições ao direito de greve dos servidores públicos. O material recorda que o direito de greve dos servidores é norma constitucional de eficácia limitada.<br><br><i>Fonte: Art. 37, VII, CF/88</i><hr><b>BIZU:</b> Greve de servidor existe, mas não pode destruir a continuidade do serviço público.
Compare <b>legalidade</b> e <b>moralidade</b> na Administração Pública.;A legalidade exige conformidade com normas jurídicas. A moralidade exige conduta ética, honesta, proba e de boa-fé. Um ato pode ser legal na forma e ainda assim imoral no conteúdo administrativo.<br><br><i>Fonte: Princípios explícitos da Administração Pública</i><hr><b>BIZU:</b> Legalidade é o mínimo jurídico. Moralidade é o mínimo ético da Administração.
Compare <b>publicidade</b> e <b>impessoalidade</b> na propaganda oficial.;A publicidade exige divulgação e transparência dos atos públicos. A impessoalidade impede que essa divulgação vire promoção pessoal de autoridade ou servidor.<br><br><i>Fonte: Art. 37, caput e § 1º, CF/88</i><hr><b>BIZU:</b> Pode informar a obra. Não pode transformar a obra em palanque.
Como <b>eficiência</b> e <b>economicidade</b> se conectam?;A eficiência busca melhores resultados e qualidade dos serviços. A economicidade exige análise de custo-benefício dos gastos públicos. Juntas, orientam uma Administração que entrega mais valor público com uso racional dos recursos.<br><br><i>Fonte: Princípio da eficiência e art. 70, caput, CF/88</i><hr><b>BIZU:</b> Eficiência olha resultado. Economicidade olha custo-benefício.
Como <b>autotutela</b> e <b>sindicabilidade</b> se relacionam?;A autotutela permite que a Administração controle seus próprios atos. A sindicabilidade permite que o Judiciário controle os atos administrativos quando houver lesão ou ameaça a direito. Uma não elimina a outra.<br><br><i>Fonte: Súmula 473 do STF e art. 5º, XXXV, CF/88</i><hr><b>BIZU:</b> Primeiro, a Administração pode corrigir. Depois, o Judiciário ainda pode revisar.
